"  ""result"": ""20",2.97205E+15,2.97205E+15,93073," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,92981," """
"  ""result"": ""20",2.97205E+15,2.97205E+15,93023," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,92525," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,117478," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,93131," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,93217," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,101203," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,92945," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,118023," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,93122," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,93369," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,92887," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,93137," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,92653," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,93166," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,93601," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,93103," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,93348," """
"  ""result"": ""20",2.97206E+15,2.97206E+15,184386," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,129562," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,137208," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,92905," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,93107," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,93415," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,92951," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,92976," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,92025," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,93262," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,93797," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,93355," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,93712," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,92893," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,123928," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,93139," """
"  ""result"": ""20",2.97207E+15,2.97207E+15,93554," """
"  ""result"": ""20",2.97208E+15,2.97208E+15,93706," """
"  ""result"": ""20",2.97208E+15,2.97208E+15,93667," """
"  ""result"": ""20",2.97208E+15,2.97208E+15,91922," """
"  ""result"": ""20",2.97208E+15,2.97208E+15,93010," """
"  ""result"": ""20",2.97208E+15,2.97208E+15,93011," """
"  ""result"": ""20",2.97208E+15,2.97208E+15,92938," """
"  ""result"": ""20",2.97208E+15,2.97208E+15,92920," """
"  ""result"": ""20",2.97208E+15,2.97208E+15,92837," """
"  ""result"": ""20",2.97208E+15,2.97208E+15,93152," """
"  ""result"": ""20",2.97208E+15,2.97208E+15,93021," """
